ruta,origen,destino,fecha_salida,fecha_vuelta,precio_gol,precio_aerolineas,mejor_precio,mejor_sitio,ultima_actualizacion
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,21/02/2027,03/03/2027,"R$ 1.345,00","R$ 1.747,00","R$ 1.345,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,22/02/2027,04/03/2027,"R$ 1.345,00","R$ 2.025,00","R$ 1.345,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,23/02/2027,05/03/2027,"R$ 1.437,00","R$ 1.747,00","R$ 1.437,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,24/02/2027,06/03/2027,"R$ 1.345,00","R$ 2.025,00","R$ 1.345,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,25/02/2027,07/03/2027,"R$ 1.436,00","R$ 2.025,00","R$ 1.436,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,26/02/2027,08/03/2027,"R$ 1.345,00","R$ 2.025,00","R$ 1.345,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,27/02/2027,09/03/2027,"R$ 1.436,00","R$ 2.025,00","R$ 1.436,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Brasília,AEP,BSB,28/02/2027,10/03/2027,"R$ 1.345,00","R$ 1.747,00","R$ 1.345,00",gol,"21/08/2026, 12:51 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,18/12/2026,28/12/2026,"R$ 1.515,00","R$ 3.371,00","R$ 1.515,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,19/12/2026,29/12/2026,"R$ 1.533,00","R$ 3.510,00","R$ 1.533,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,20/12/2026,30/12/2026,"R$ 1.672,00","R$ 3.649,00","R$ 1.672,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,21/12/2026,31/12/2026,"R$ 1.527,00","R$ 3.371,00","R$ 1.527,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,22/12/2026,01/01/2027,"R$ 1.673,00","R$ 3.609,00","R$ 1.673,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,23/12/2026,02/01/2027,"R$ 1.672,00","R$ 3.620,00","R$ 1.672,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,24/12/2026,03/01/2027,"R$ 1.510,00","R$ 3.793,00","R$ 1.510,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,25/12/2026,04/01/2027,"R$ 1.509,00","R$ 3.654,00","R$ 1.509,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,26/12/2026,05/01/2027,"R$ 1.831,00","R$ 3.998,00","R$ 1.831,00",gol,"21/08/2026, 12:50 p. m."
Buenos Aires (Aeroparque) - Goiânia,AEP,GYN,27/12/2026,06/01/2027,"R$ 1.831,00","R$ 4.076,00","R$ 1.831,00",gol,"21/08/2026, 12:50 p. m."
